operator_id,inbound_calls,outbound_calls,missed_calls,missed_rate,avg_wait,crit_missed_real,crit_wait,crit_outbound,score,is_inefficient_real,classification,wait_category,score_label,performance_level,missed_rate_pct,activity_type
902746,0.0,2748.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902748,0.0,2831.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902774,0.0,1126.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902776,0.0,1824.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902778,0.0,1327.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902782,0.0,1473.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902906,49.0,0.0,0.0,0.0,21.15,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
902910,31.0,0.0,1.0,0.03225806451612903,37.18181818181818,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,3.23,Solo Entrante
903254,262.0,1583.0,0.0,0.0,59.093333333333334,False,True,False,1,True,Ineficaz,52.4-60 s,1,Bueno,0.0,Entrante y Saliente
903292,43.0,303.0,0.0,0.0,67.33333333333333,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Entrante y Saliente
903312,144.0,53.0,2.0,0.013888888888888888,45.75,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,1.39,Entrante y Saliente
903318,314.0,1332.0,3.0,0.009554140127388535,45.44444444444444,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.96,Entrante y Saliente
903390,9.0,0.0,0.0,0.0,20.285714285714285,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
903512,28.0,0.0,0.0,0.0,70.0,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Solo Entrante
903974,11.0,0.0,0.0,0.0,61.666666666666664,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Solo Entrante
903976,5.0,0.0,0.0,0.0,21.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
903978,8.0,10.0,0.0,0.0,38.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
904014,46.0,1429.0,0.0,0.0,41.785714285714285,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
904016,55.0,5120.0,2.0,0.03636363636363636,38.7037037037037,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,3.64,Entrante y Saliente
904038,498.0,231.0,2.0,0.004016064257028112,52.45783132530121,False,True,False,1,True,Ineficaz,52.4-60 s,1,Bueno,0.4,Entrante y Saliente
904044,117.0,27.0,1.0,0.008547008547008548,47.06521739130435,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.85,Entrante y Saliente
904058,19.0,0.0,0.0,0.0,18.294117647058822,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
904200,8.0,12.0,0.0,0.0,24.857142857142858,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
904202,9.0,246.0,0.0,0.0,12.857142857142858,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
904204,5.0,59.0,0.0,0.0,40.25,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
904284,49.0,0.0,0.0,0.0,24.870967741935484,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
904344,7.0,5.0,2.0,0.2857142857142857,31.0,False,False,True,1,True,Ineficaz,<=52.4 s,1,Bueno,28.57,Entrante y Saliente
904372,4.0,0.0,0.0,0.0,31.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
905082,4.0,0.0,0.0,0.0,34.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
905104,326.0,210.0,6.0,0.018404907975460124,78.97183098591549,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,1.84,Entrante y Saliente
905300,29.0,0.0,2.0,0.06896551724137931,38.23529411764706,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,6.9,Solo Entrante
905308,0.0,3.0,0.0,0.0,0.0,False,False,True,1,True,Ineficaz,<=52.4 s,1,Bueno,0.0,Entrante y Saliente
905430,114.0,835.0,1.0,0.008771929824561403,40.89473684210526,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.88,Entrante y Saliente
905432,11.0,959.0,0.0,0.0,11.8,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
